category,search_volume,trend_score,click_through_rate,bounce_rate,avg_session_time
Business,10950.0,81.66666666666667,0.5383333333333333,0.29333333333333333,285.0
Career,12505.0,83.1,0.552,0.28500000000000003,255.0
Ecomerce,15177.777777777777,86.22222222222223,0.5877777777777777,0.2544444444444445,298.8888888888889
Education,11460.0,81.13333333333334,0.5306666666666666,0.29733333333333334,252.33333333333334
Finance,12043.478260869566,81.1304347826087,0.5304347826086956,0.2982608695652174,248.2608695652174
General,18000.0,88.0,0.58,0.25,160.0
Health,10431.25,79.75,0.516875,0.305,223.125
Insurance,11585.714285714286,82.28571428571429,0.5457142857142857,0.2885714285714286,270.0
Marketing,9575.0,77.0,0.4875,0.32999999999999996,252.5
Sports,21250.0,92.0,0.645,0.20500000000000002,290.0
Technology,12420.0,81.53333333333333,0.5359999999999999,0.2906666666666667,278.0
Travel,12033.333333333334,80.33333333333333,0.5066666666666667,0.31333333333333335,236.66666666666666
